genes,GSM399666,GSM399667,GSM399669,GSM399676,GSM399679,GSM399682,GSM399685,GSM399689,GSM399717,GSM399718,GSM399719,GSM399761,GSM399762,GSM399763,GSM399765,GSM399766
HAS3,3.492150529,3.791241798,3.260683334,3.575710641,3.615683732,3.151916978,3.439523002,3.380537031,3.36446935,3.119003379,3.106723199,2.725491843,2.940680616,2.849876672,3.190356101,3.208437857
HASPIN,2.39431023,2.967131584,2.465551384,2.194597552,2.671123356,2.34853781,2.479950954,2.296461641,2.746203078,2.673019504,2.158503773,2.386177362,3.005451132,2.347510759,2.465097615,2.865506089
HAT1,7.241759699,7.284697574,7.165011692,7.463672962,7.346056138,7.645960514,6.643296428,7.453720376,7.333453157,7.144411706,7.055194478,7.575924148,7.219190075,7.402235958,7.124848881,6.389595707
HAUS1,5.93145621,5.923318751,6.007330464,6.03710356,5.847523785,5.998753881,5.501672531,6.146203655,5.777441354,5.640010184,5.710210642,6.121726069,5.986282057,5.984326666,6.42098046,5.792548935
HAUS2,4.749926695,4.906918118,4.798303223,4.650556875,4.707176918,4.636829526,4.785011639,4.531090154,4.594702876,5.240476181,4.948585506,5.090547013,5.098027877,5.038101095,5.149072964,5.078686132
HAUS3,5.990357874,5.60455568,5.823821978,5.830757363,5.897514527,5.913690639,5.583583375,6.124028453,6.094755644,5.908230791,6.198972078,6.31144678,6.232540993,6.531992876,5.963821031,5.909087556
HAUS4,7.483756944,8.587151275,7.78238193,8.733277613,7.683923972,7.720389793,8.130362838,8.312702793,7.726849074,7.358795421,7.418092184,8.018801528,7.835885281,7.536140926,7.165397708,7.906432615
HAUS5,4.761165256,4.635943566,4.493563529,4.704658981,4.475507557,4.62042436,4.551797178,4.516150241,4.535109804,4.777109512,4.70925749,4.792381929,4.595970453,4.385863639,4.658894563,4.720135939
HAUS6,3.541803047,2.818322023,3.092111194,2.87619598,3.047577122,2.947280884,3.226783591,3.453283947,3.492755588,3.831450061,3.601920411,3.648801207,3.522960378,3.451806016,4.026582961,3.441580546
HAUS7,4.804635526,4.825853015,4.924162831,4.666501988,4.374794459,4.440523506,4.407678356,4.966683422,4.719822172,4.902177898,4.787188208,4.881974103,4.605959589,4.472051539,4.917157246,4.732680092
HAUS8,4.181196133,4.390153005,4.793703754,4.178160091,4.190441617,4.178902571,4.202768502,4.142713249,3.967295633,4.354378316,4.208461245,4.37442098,4.088991034,4.224455825,4.22952014,3.950115715
HAVCR1,1.787081437,1.456525736,1.602268103,2.450272421,1.953174267,1.973460708,1.877329505,1.990999437,1.828600127,1.724310428,2.16091891,1.661750786,1.693851912,1.663620176,1.419029383,2.275631075
HAVCR1P1,4.24426952,4.104330287,4.140863373,4.303863166,4.42114907,4.725088973,4.26579208,4.730576125,3.936109847,4.130729932,4.298647697,4.177806475,4.311916361,4.374810717,4.323372475,4.416934174
HAVCR2,5.189082668,5.196493494,4.750858502,4.796710092,5.317514656,4.840544941,4.649590225,4.584912155,4.838402197,4.735402784,5.283189644,4.613121879,5.05762323,5.063182804,5.000914098,5.309469653
HAX1,6.173362928,6.185750534,6.024551349,5.663975572,5.584471325,5.783563644,5.881684324,5.916190877,6.05309582,5.926559013,5.960477039,6.203063435,5.903453352,5.986428192,6.028431101,6.067984025
HBA2,10.84514644,13.19207667,10.873302,12.57950867,12.44252994,10.93532543,12.72854518,13.35511689,13.16274672,13.38056913,13.22393364,13.13639822,13.17736434,13.18581696,13.08681815,13.1250397
HBB,9.601943839,11.40853513,10.15596174,10.99149981,11.0721314,10.24713894,11.24888226,11.49326478,11.33545312,11.36026609,11.36645534,11.39301711,11.37174353,11.31185267,11.23559525,11.24767285
HBBP1,1.643743191,2.532447505,2.123181459,2.226281425,2.11779461,1.977746762,2.429643786,2.440678662,2.768772217,2.26780054,2.409257646,2.854606559,2.367426921,2.36298816,2.659462947,2.855921271
HBD,3.8850976,8.089378045,5.267450782,5.3051728,5.425805859,5.218374376,6.378057669,8.383655586,6.815338021,7.59001678,6.951243417,8.865628676,8.769935946,8.055208263,7.614868027,7.336648606
HBE1,2.700716364,3.584760315,2.677959987,3.109340317,3.596978616,3.124843632,3.153874041,3.794537106,3.473253526,3.242732191,3.243955189,3.178252779,3.182188326,3.274323163,3.143634186,3.385124013
HBEGF,3.118629862,3.113601203,2.942274493,3.017484131,3.144625776,2.922848442,2.979229521,3.08106855,3.348184272,3.020021269,3.044547131,2.894477528,2.939210128,2.904483554,2.979757466,3.108757187
HBG2,6.598759704,10.3959016,6.324165618,8.029685581,9.948785807,6.370315555,8.561902995,11.03587037,9.765341344,9.876689423,9.618484615,11.57518969,9.005889018,9.949990844,9.461920585,10.78658341
HBM,3.621585403,6.825903602,4.37262569,4.225774993,3.904694042,3.7845385,4.671721602,7.388482687,5.709035327,6.975691222,6.27770786,7.714785831,7.244016493,7.009641266,6.130676061,6.200245554
HBP1,5.128746563,5.083452199,5.196693388,5.345228385,5.173823513,5.380766477,5.396597978,4.655147088,5.812144218,5.365128526,5.334155976,5.566225008,5.45189895,5.822844445,4.916714928,5.285589711
HBQ1,3.522336871,5.739411358,3.965401636,4.758803093,4.375951069,3.913348143,3.993779655,5.938769234,4.438040463,5.016198758,5.077521322,5.544541787,5.621473017,4.941775168,5.015194795,5.098910028
HBS1L,3.79861381,4.084544546,3.757681087,3.787695251,4.033765082,3.663526787,3.718990644,3.634951535,4.014647317,4.115209403,3.757199966,3.988560346,3.879341302,3.860512227,3.821532553,3.854760663
HBZ,2.007135906,2.201849431,1.979582234,2.182332352,2.235491236,1.936865124,2.02690874,2.639340516,2.337542321,2.476985881,2.300817227,2.900599727,2.240876631,2.140231949,1.775374076,2.407700409
HCAR1,1.778735657,1.968620533,1.866830659,1.845534151,1.906350602,1.751630902,1.891947844,1.880495012,2.182350638,1.790230407,1.606454939,1.751630902,1.44784409,1.567427918,2.133078208,1.759279539
HCAR3,10.61642214,10.43780286,10.6797453,10.05038144,9.420897892,11.08483631,11.1529496,10.26600974,9.991816462,9.531965565,9.815033143,10.0878764,10.53455912,9.157233952,9.571272331,9.695825276
HCCAT5,3.83260117,4.054386558,3.806066896,3.861427562,3.653871997,3.789688282,3.915957303,3.83260117,3.791133058,3.395631325,3.738920308,3.513139884,3.79787191,3.291394275,3.641654417,3.354708514
HCCS,5.882695462,5.928710168,6.004498018,5.817753596,6.020382688,5.99746521,5.716926069,5.965283288,5.621127619,5.746159917,5.881811324,5.787478747,5.775742459,5.748600267,5.87656773,5.691061513
