genes,GSM399666,GSM399667,GSM399669,GSM399676,GSM399679,GSM399682,GSM399685,GSM399689,GSM399717,GSM399718,GSM399719,GSM399761,GSM399762,GSM399763,GSM399765,GSM399766
A1BG,3.290725773,3.176033034,3.709401052,3.310105573,3.086929208,3.12459902,3.20043094,3.279800176,3.20784867,3.081892186,3.376201672,3.058184506,3.187852581,3.154678509,3.322566587,3.007022447
A1BG-AS1,3.172748276,3.132175851,2.961082245,2.977100081,2.700493877,2.733060656,2.992544187,2.99463881,3.263005808,3.014981166,2.634188735,2.972308497,2.703892574,2.930652821,2.674097561,2.899190878
A1CF,2.048047454,2.489426368,2.354682214,2.410734624,2.366252809,2.393994059,2.1659639,2.35458095,2.528704974,2.346657437,2.124909357,2.227566629,2.393200177,2.10124501,2.292070628,2.346708971
A2M,2.704752584,2.35178292,2.125656837,2.487326402,2.170692108,2.209070805,2.377610222,2.882323035,2.38265042,2.28194093,2.035422517,1.932490131,1.862117023,2.209605773,2.318183208,2.303828198
A2M-AS1,6.490554511,5.980771073,5.463074606,4.495170169,4.135280372,4.917467521,5.37090961,5.888211115,6.818920356,7.892732313,5.522203099,6.319692944,5.870997595,7.82177378,7.776928777,6.897573492
A2ML1,1.697611099,1.860800353,1.588058367,1.673672496,1.720831356,1.669023654,1.720048014,1.543951155,1.915958427,1.749462602,1.883738062,1.590258325,1.626785393,1.572528178,1.558763925,1.698766087
A2MP1,3.23846009,3.61900695,3.45564429,3.538626714,3.420880842,3.278387047,3.663550149,3.723934143,3.838225355,2.913343135,3.283894103,3.246681869,3.286335914,3.115009126,3.364949014,3.204626453
A4GALT,4.054386558,4.157431083,4.130247719,3.870606549,4.27752498,3.495183556,3.888657472,4.103549644,4.084338481,3.822762918,3.868474397,3.980271901,3.962760926,4.193759662,3.92449662,3.822762918
A4GNT,2.640193018,2.738540816,2.171428763,2.929328067,2.585944063,2.871129793,2.631563772,3.286141381,3.226364462,2.512674586,2.230036796,2.324135592,2.415900647,2.41540113,2.660868456,2.573532933
AA06,2.413767189,2.563639363,2.3745867,2.048685963,2.387383279,2.524973922,2.460549439,2.6908497,2.645385735,2.362701711,2.110605313,2.330654823,2.401466695,2.362982497,2.305561975,1.915202357
AAAS,5.309104163,5.181692964,5.220598016,5.496066172,5.149093369,5.203218028,5.209023691,5.275377787,5.142593394,5.239341862,4.97345093,4.466715888,4.809096261,4.686349863,4.923518705,5.099438116
AACS,3.967093751,4.319520838,4.171045417,4.320473051,4.041850318,4.06559394,3.832626708,4.261744768,4.128818921,4.192053713,4.270471501,3.731025163,4.065179937,3.925799992,4.150274674,4.083081964
AACSP1,1.436528181,1.607211281,1.562576709,1.444151034,1.559196607,1.562576709,1.56595681,1.623245643,1.337191795,1.369642322,1.394482841,1.623780789,1.491641245,1.621102232,1.337908021,1.724994466
AADAC,2.26756431,2.336738062,2.578167555,2.559926804,2.376233038,2.353933845,2.289998003,2.475877666,2.511689321,2.179009288,2.140098038,2.535154516,2.391666099,2.501724016,2.307010747,2.044925122
AADACL2,1.257691715,1.254952288,1.279216819,1.395548351,1.665635192,1.223858472,1.398591377,1.305562848,1.292125727,1.32736041,1.28803487,1.247111842,1.121701337,1.270500451,1.145675963,1.428728355
AADACP1,1.192507634,1.267341882,1.334587807,1.070701858,1.441168754,1.136560128,1.3855453,1.270161907,1.241789653,1.39991655,1.163918894,1.391967683,1.407766429,1.340035622,1.279551798,1.204848453
AADAT,2.304993059,2.457421483,2.048671711,2.677096554,2.164907315,2.010114177,2.41132395,2.767713412,2.164356234,1.739386956,2.106633616,2.265609852,2.057627818,2.207780334,1.83227803,2.088664152
AAGAB,4.786426429,4.710544066,4.6839061,4.920852599,4.556969013,4.550446958,4.218857802,4.417900482,4.624219898,4.904097355,4.573871107,4.433358405,4.659871119,4.660697793,4.518669067,4.999706663
AAK1,3.881363093,4.029385855,3.593118981,3.51685187,3.504317273,3.684362895,3.781693855,3.747696294,3.756789457,4.085455246,3.821235345,3.798520127,3.605552315,3.997459582,4.06799171,4.117109337
AAMDC,3.239282176,3.29584212,3.279527299,3.034744469,2.962167794,3.264284354,2.947373179,3.161729385,3.093715208,3.137230313,3.113250261,3.167153092,3.264878748,3.11469844,3.278976098,3.254406384
AAMP,7.017352116,6.598916567,7.004362816,6.670886751,7.038237421,6.938139321,6.780823286,6.03492188,6.90317209,6.93371709,7.079121253,6.565329407,6.332640238,6.506693361,6.806604256,6.54897098
AANAT,1.378220938,1.91053825,2.160238636,1.736472988,1.720015555,1.594181547,2.026223997,1.877329505,1.718907022,1.809370036,1.988007652,1.745651956,1.726516006,1.378220938,1.736528837,2.221047094
AAR2,5.509580756,5.447603774,4.789465525,4.921570293,5.061008938,5.307889043,5.348004686,5.130588089,5.517370261,5.2511769,5.278212262,4.866801804,4.959156286,5.226607519,5.304490748,5.259936511
AARS1,6.086989717,5.959141225,6.055470491,5.835927427,6.305793346,5.816592464,6.094384359,5.734279564,5.870549228,5.414499576,6.084746643,5.90372765,5.895557348,5.663896499,6.086482003,5.852587221
AARS2,4.759097437,4.574971828,4.460152157,4.581549469,4.379736162,4.324599704,4.487371768,4.566854137,4.578194747,4.576561758,4.483735173,4.355655714,4.358164091,4.080954612,4.712616454,4.485585192
AASDH,5.808886585,4.966147846,5.130945988,5.515435177,5.216932932,5.547170132,5.066503728,4.896782943,5.956946552,5.71365231,5.637220639,5.906296938,5.598195648,5.500600312,5.790931032,5.663661117
AASDHPPT,5.043017119,4.602867116,5.008206039,4.918023507,5.325853731,4.961495311,4.571448608,4.967933882,4.959873478,5.014923595,5.169567816,4.90427284,4.943104951,4.758448886,4.952211714,4.434592368
AASS,2.097936916,1.574320105,1.668383392,1.759216509,1.777457636,1.582816792,1.63803937,1.435456201,1.783588535,1.591957716,1.786465689,1.919712755,2.003606839,1.580562971,1.70037445,1.627540407
AATBC,5.967900275,5.706884958,6.022215677,5.358552783,6.171539482,6.001720887,6.283132736,5.523178874,6.105097254,5.829180193,5.820438159,5.405631851,6.276291788,5.977998798,6.052129999,5.862224757
AATF,7.48039888,7.344099686,7.435035332,7.380133349,7.226882494,7.210538144,7.091808601,7.17243655,7.245635327,7.483754109,7.047866163,7.106552098,7.159924374,6.977844638,7.177559004,7.314972128
AATK,6.753356283,5.93162925,7.116894184,7.23228972,7.121455181,7.27075154,7.410881753,7.030857036,7.014915346,6.614018908,6.883239867,6.815377583,7.098625135,6.936836865,6.675150478,6.534082548
ABAT,5.581791144,5.063468439,5.236555019,5.859178945,5.714446641,5.868722809,5.511208909,5.880015206,5.842456544,5.284938741,5.363322254,5.841788522,5.499797964,5.350630615,5.527886132,4.936947305
ABCA1,4.488805475,5.026704568,5.747879791,5.135472317,5.131018798,5.069108837,5.272560749,4.935743099,4.538483644,4.742718228,4.476488559,4.46009097,4.784801371,4.677147667,4.525250201,4.228194039
ABCA11P,2.734929277,2.786752664,2.198125065,2.233632245,2.125411058,2.619951108,2.289212815,2.315448998,2.864605512,2.329484834,2.550227463,2.740016068,2.53270972,2.343366933,2.300822884,2.035081678
ABCA12,1.25638188,1.395548351,1.35779095,1.249545824,1.483925079,1.13068207,1.57217211,1.390097067,2.032450162,1.159205681,1.380294075,1.368879506,1.379300467,1.081035325,1.262636493,1.314233619
ABCA13,1.115773926,1.439016434,0.947750064,1.2860046,1.397368521,1.895754565,1.256472773,1.215522552,1.025135228,1.081754899,1.008036985,1.231188924,1.208304939,1.306348761,0.962510914,1.078832167
ABCA17P,2.142390473,2.494926157,2.470348032,2.525023819,2.118576903,2.047138782,2.142390473,2.558171545,2.473157325,2.607039687,2.786684549,2.574124325,2.062955979,2.65333523,1.94153965,2.377544728
ABCA2,3.881385104,3.767786901,4.123077812,4.148667319,3.61814214,3.845198112,4.007532957,3.802871656,3.728932951,3.785960788,3.754982945,3.482019018,3.665281649,3.795752471,3.707762787,3.723849484
ABCA3,4.605335261,3.623752428,4.604846181,4.371887588,4.538196341,4.146794701,4.492406989,4.394547354,4.421761002,4.20948412,4.069542703,4.153849092,4.324896712,4.692369506,4.645614187,4.434445464
ABCA4,2.2461464,2.485016558,2.154546661,2.338534412,2.346843646,2.390134222,2.357620276,2.506085402,2.367938227,2.253587041,2.496384437,2.171303773,2.201451009,2.216643353,2.266975126,2.323129276
ABCA5,4.603681363,4.268502277,4.149082571,4.895003096,4.562875789,4.643864174,4.624528,4.166447428,5.028956485,5.171891504,4.975543679,4.81932944,4.269531898,4.795415188,4.72580294,4.872101229
ABCA6,1.268876406,1.705275555,1.455935869,1.378689578,1.500891458,1.279307457,1.428630934,1.360362723,1.905453558,1.184315995,1.390495225,1.686864421,1.430183519,1.378220938,1.577505545,1.231463826
ABCA7,6.11540278,6.144869804,6.094423867,6.49431983,5.851332856,6.189765387,6.793939091,6.161159709,6.405403202,6.550305447,6.291686957,6.051079988,5.750153106,5.964207561,5.759409194,6.287235608
ABCA8,1.894212917,1.95978419,1.956114889,1.814851599,1.870094006,1.918053307,1.912850058,1.900096256,1.927184713,1.600497881,2.070049627,1.751920796,1.863308546,1.931031248,1.819281099,1.6922804
ABCA9,1.432984424,1.55073936,1.585495646,1.644588858,1.591149764,1.551166757,1.526873558,1.560067687,1.569196541,1.486848398,1.626970018,1.669912189,1.786883393,1.469004024,1.639330738,1.751625289
ABCB1,4.353114115,3.458898505,3.163224899,2.659381713,3.102426852,3.229504494,3.28905719,3.703639491,3.722257768,4.310467103,3.99316045,4.143981161,3.798602993,3.533200925,3.469793941,3.459234346
ABCB10,5.885154236,5.242257785,5.358040956,5.919949074,6.117425367,5.956899578,5.518202087,5.861018804,6.001500545,6.061135427,5.629570283,5.942489292,5.879248105,6.263421386,6.14922583,5.777975424
ABCB11,2.459223868,2.676400079,2.427948658,2.559281085,2.441141933,2.603453486,2.545623374,2.397828622,2.57686201,2.042846932,2.214911715,2.47331766,2.394634568,2.295676105,2.43889584,2.407551877
ABCB4,2.017850071,2.077397721,2.609327405,2.222967189,2.215649096,1.996808553,1.928515853,1.937353968,2.107042632,2.490891992,2.074743444,2.095420694,2.336645197,2.021786006,1.668686315,2.24639481
ABCB5,1.601883654,1.962075839,1.783460158,1.80069386,1.72039241,1.638705563,1.583419291,1.694857045,1.67973014,1.493341402,1.563131617,1.797871235,1.660497885,1.693023886,1.587130556,1.670028595
ABCB6,3.638060823,3.497307649,3.485271822,3.656598638,3.257283212,3.574350037,3.729911674,3.644535286,3.742566477,3.608248705,3.1257796,3.78000532,3.334573726,3.382183422,3.605897518,3.470420033
ABCB7,6.618820884,6.308647309,6.26240932,6.237952965,6.811763019,6.441211579,5.918232835,6.42598784,6.37597015,6.380677455,6.312224737,6.177363187,6.374010937,6.132302816,6.553214288,6.345190806
ABCB8,3.921482411,4.062091681,3.676092006,3.915689284,3.922666004,3.979250022,3.811952057,4.098121259,4.110020464,3.922765968,3.963061659,3.821636028,3.983864438,3.710216201,3.65207163,3.826245217
ABCB9,3.203614208,3.601830571,3.361980512,3.286606471,3.666122291,3.06650887,3.473227824,3.418657587,3.503570177,3.294943426,3.47372726,3.424820476,3.535268384,3.38574693,3.424542667,3.462246788
ABCC1,6.127704266,5.947390259,5.772091948,5.802013925,5.528794557,5.680629169,5.871977741,5.95357067,5.881446261,5.912509426,5.713048386,5.996139792,6.096386079,5.787048414,5.761101097,5.965910079
ABCC10,5.438651468,4.944310623,4.933899254,5.174771028,4.8535062,5.124035344,5.185025252,5.133649099,5.052548519,5.510160126,5.186321048,5.366231069,5.16176403,5.255873588,5.966258277,5.682449868
ABCC11,2.215153768,2.491135626,2.11122599,2.350025504,2.239185224,2.308806025,2.279736425,2.381851844,2.519884543,2.108962744,2.202649938,2.242666223,2.243423274,2.146228387,1.988429801,2.361546555
ABCC12,1.919291355,1.912886325,1.668370044,1.672865724,1.733361455,1.711583991,1.84113607,2.002855683,2.075116465,1.596915963,1.902962652,1.749017729,1.700930039,1.671393146,1.760952171,1.668512642
ABCC13,1.61822154,1.833023411,1.459237185,1.521634052,1.89479255,1.605655837,1.658902243,2.293557788,1.818579662,1.739599397,1.967535451,2.434065831,2.054096382,1.875754101,1.671937624,1.72019214
ABCC2,2.6410498,2.704283563,2.472551453,2.749845468,3.331335722,2.73528716,2.57656659,3.188998367,2.913804206,2.777616438,2.606163074,2.756515457,2.899615362,3.106149425,2.795900495,3.053403782
ABCC3,4.10342843,4.388628607,4.332127485,4.362542644,4.736518932,4.236957251,4.419337489,4.684848852,4.181279686,4.172947752,4.119765131,4.45708603,4.358985171,4.293376467,4.391147818,4.346773677
ABCC4,2.772866737,3.399248738,3.162161748,3.704688566,3.8239503,2.77287105,2.790784224,2.758406075,2.946362366,3.424436601,2.783270313,3.26866142,2.848945123,2.837988895,3.00084443,2.783924244
ABCC5,4.299886971,4.034778397,4.331780217,4.689528869,4.494211952,4.6722841,4.383926744,5.045730154,4.924283465,4.585841828,4.714861894,4.580819297,4.383120443,4.636848902,4.406413193,4.351198961
ABCC6,2.718384018,3.181624946,2.607580698,2.914007628,3.047768956,2.663728862,2.924287458,3.03981496,3.003022983,2.987703786,2.887621234,2.651079252,2.891638051,2.690239729,2.923613055,2.777515809
ABCC6P1,1.249228942,1.728802239,1.577895017,1.532162215,1.371899462,1.529245877,1.583907863,1.600909025,1.637146491,1.484318584,1.407137111,1.532162215,1.484765732,1.547750047,1.471491978,1.326137229
ABCC8,3.258816626,3.304793418,3.382515497,3.433014697,3.226548638,3.247934327,3.255468267,3.357189783,3.292246716,3.146833632,2.942027394,3.186503149,3.530663529,3.290144156,3.367861077,3.302703962
ABCC9,1.863242434,2.051608167,1.961756424,1.971172972,1.979808609,1.837253178,2.034019052,1.962924048,2.000674357,1.763593111,1.821199608,1.8748077,1.889507517,1.850528844,1.765683184,1.955911434
ABCD1,4.53840219,4.940741347,4.556994578,4.332572961,4.74075205,4.463890238,4.512532908,4.341009496,4.750261869,4.400702073,4.12072068,3.923516771,4.089909737,3.311392072,3.853186521,4.188144449
ABCD2,1.94658477,1.432358561,1.575872208,1.68288166,1.813351719,1.472706167,1.675258807,1.68288166,1.675258807,2.194214702,1.82052959,1.676773943,1.940056615,1.629830415,1.929634069,1.568994926
ABCD3,4.18293738,4.026406864,4.461852825,4.303387616,4.627328976,4.278371742,4.176211318,4.049981869,4.537352875,4.363757246,4.385499022,4.168964951,4.313774169,4.173166791,4.513242415,4.247585259
ABCD4,3.666081593,3.973290408,3.804178526,3.817965925,3.508770402,3.798546138,3.843327656,3.749654655,3.845684304,3.63100539,3.712983343,3.936634744,3.458628523,3.729316677,3.551244401,3.554657516
ABCE1,5.972127178,5.856192448,5.983057355,5.714990164,6.097688462,5.789967379,5.421338862,5.935713575,6.122921826,6.189935863,6.16380893,6.309241058,5.993046123,6.074304166,6.261188705,5.918855667
ABCF1,6.919605123,6.847680933,6.730075507,6.602829697,6.902340318,6.45200902,6.530851858,6.540106596,6.670396062,6.731879009,6.698740728,6.573119221,6.561568785,6.3735896,6.788164107,6.855009316
ABCF2,3.761411467,4.146547388,4.046141743,3.802495028,3.911976761,3.927483005,3.864531701,3.762708488,4.173567094,4.019545204,4.057547655,3.866552334,3.850084,3.768899498,4.16412086,4.047474766
ABCF3,4.869870511,4.896040502,4.849173242,4.463892814,4.848599374,4.61461734,4.845150269,3.984224631,5.051119183,4.964463763,4.869870511,4.800191953,4.686992063,4.47787574,4.836583698,4.781947688
ABCG1,5.005324645,4.90560108,5.715517944,5.139762071,5.346540017,4.796456269,5.098367108,5.638087337,5.102665801,5.07941191,4.75132549,5.098095196,5.244012219,4.871377395,4.868377494,5.469144714
ABCG2,1.864963217,2.020453232,2.416322986,1.480166562,2.160914093,1.972888357,2.502137659,2.872352502,2.087251726,1.743380139,1.756066105,2.288987966,2.185898902,1.717407487,1.670348508,2.691935497
ABCG4,4.641060931,4.513815873,4.911043382,4.824641028,4.833605857,4.240489396,4.952371389,5.313053658,4.827847382,4.507621812,4.455978209,4.64673808,4.495666503,4.543103837,4.757251912,4.482936025
ABCG5,1.479183303,1.756660668,1.703594006,1.974713113,1.514267745,1.828040672,1.946511744,1.944244683,1.904365549,1.827059893,1.651029583,1.959132667,1.797637133,2.164225995,1.938617861,1.6821193
ABCG8,2.139007561,2.3285782,1.933783903,2.365648315,2.008211028,2.347003762,2.279329308,2.344061331,2.484075729,2.076276541,2.211678513,2.63302228,2.178290734,2.188940003,2.265796105,2.008344968
ABHD1,2.415549205,2.659509457,2.407096919,2.541771352,2.501773781,2.552129361,2.673322146,2.809961437,2.320590613,2.3481928,2.421338814,2.271033912,2.486483463,2.098022738,2.627608179,2.390843847
ABHD10,5.294861906,4.607795482,5.166488476,4.982211173,5.210424444,5.211372097,4.710628058,5.038552726,5.24198842,5.299037654,5.196086084,5.041488264,5.292007766,5.257662851,5.208498856,5.238247431
ABHD11,4.093518112,4.339275854,4.029744446,4.398186724,4.018211159,3.977338593,3.765744419,3.871482982,4.039769857,3.791061822,4.037198019,3.713671343,3.891529083,3.875720012,3.805104003,3.932082795
ABHD12,4.408189903,4.313645947,3.991381677,4.056641325,4.209462923,3.881487901,4.11297358,3.562720418,3.99615755,4.234360048,3.963387501,3.884199892,3.910413502,3.879375044,3.91496641,3.962199294
ABHD12B,1.547531783,1.526963312,1.907202583,1.888813351,1.999401445,1.478424616,1.780997765,1.466826475,1.572742651,1.729425694,1.331391909,1.399104798,1.457717031,1.255143293,1.312875703,1.320919812
ABHD13,3.072178308,2.824756554,3.042165745,3.227361406,3.234549374,3.481508283,2.894445851,2.90994572,2.780551707,2.808792249,3.137709737,3.513183937,3.27393474,3.187715709,3.011649818,2.932646047
ABHD14A,5.387546059,5.208708779,4.957410609,5.071218241,4.833419576,4.828362674,5.017759738,4.761747499,5.040564945,5.176874237,4.942199163,5.117958186,4.941872757,4.7534214,5.208311817,5.041381853
ABHD14B,5.629288163,4.837203777,5.060835901,5.24211056,4.618052682,4.833642697,4.42620944,4.723088996,4.983140276,5.273082216,4.963125913,4.963125913,5.031569523,5.100188131,5.438349047,5.445353071
ABHD15,4.526622322,3.826946517,4.161328561,3.936069004,3.777983591,3.786035422,3.966351364,4.259566464,4.291570298,4.298766633,3.966351364,3.951176201,4.007510962,4.046003722,4.491877668,4.055273166
ABHD16A,4.534140083,4.525290193,4.938111091,4.392617226,4.410747209,4.34323897,4.485369993,4.201168826,4.63981074,4.172165664,4.312805414,4.213807451,4.206188438,4.124995849,4.031007162,4.207501203
ABHD16B,2.402148437,2.39109767,2.113459912,2.020918813,2.323923457,2.280947423,2.066514408,2.738364259,2.42648796,2.350863494,2.199441682,2.333174595,2.201491667,2.04809967,2.121787328,2.113459912
ABHD17A,8.76120647,8.09724118,8.210606408,8.43873227,7.592392218,8.074637625,8.170177696,8.065991777,8.242001599,9.225450306,8.844769986,8.343124962,7.631642328,8.357144173,8.648982433,8.413851195
ABHD17B,4.042724168,4.136352573,4.356182334,4.179234705,4.407770433,4.208068178,4.127656187,4.062275943,4.333615037,4.369305222,4.257841656,4.082616451,4.18820114,4.022936038,3.90593581,3.625508837
ABHD17C,4.580376653,5.026520201,4.615051669,4.137514005,4.780642114,5.219616541,4.451533365,4.584140716,4.912234271,4.396814468,4.593662765,4.125992966,4.643066943,4.761129679,5.273170283,3.898128002
ABHD18,4.834317428,5.185011898,5.036213451,4.863189228,4.789201071,4.897532202,4.742244143,4.818610642,4.91840029,5.502104596,5.202872085,5.183690071,5.17769626,5.467712254,5.375873685,5.625935717
ABHD2,6.510951633,6.791374588,6.872751585,6.968682079,6.534236896,7.142976277,6.650785956,6.295092448,6.957390503,7.027144962,6.755794398,6.626200238,6.812861021,6.941425863,6.20754222,6.378912343
ABHD3,8.749216433,8.316469672,8.835627886,8.542803405,8.899719372,8.782304072,8.773767912,8.79968915,8.702786148,8.685870885,8.882715654,9.247498594,8.970541284,8.912894862,8.480654526,8.291971039
ABHD4,5.572034858,5.687372776,5.547290113,5.253886936,5.528732249,5.799270329,5.942716633,5.567963262,5.89677043,5.425933034,5.524982031,5.55416059,5.596121022,5.340812778,5.303476607,5.358660969
ABHD5,5.062893042,4.810031634,5.321218085,5.480839378,5.787256126,5.989463567,5.407262327,5.805037023,5.873769803,5.710984554,5.728523085,5.919535143,5.701154983,6.201453536,5.101854446,5.743757203
ABHD6,3.594520118,2.969103758,3.099989081,3.188344808,3.137342383,3.177663773,3.152778587,3.307967169,3.31967737,3.404932629,3.283430122,3.232952293,3.32440702,3.299816622,3.17207033,3.021417051
ABHD8,2.531502563,2.753832009,2.639546751,2.445851489,2.389995328,2.302530453,2.337448202,2.431994832,2.719638575,2.815172185,2.543955856,2.489555033,2.45409643,2.068354317,2.277971064,2.644696396
ABI1,6.170443054,6.18950317,6.429657915,6.421897391,6.654957666,6.599563573,6.233979149,6.16404891,6.585897214,6.589471901,6.498342122,6.559837157,6.439447585,6.412572155,6.050524672,6.091161235
ABI2,3.943471536,4.007647763,3.997225646,4.025642833,4.16699757,3.868652769,4.033874232,4.038764824,4.145392657,4.077125153,4.155423181,4.013327741,4.080544745,3.977523365,4.087113794,4.066037802
ABI3,5.832742342,5.547833502,5.261331698,4.802524052,4.838514391,5.185054785,5.151200171,5.134314483,5.210392501,5.35969737,5.389313793,5.32365524,5.296477301,5.441610045,5.473261701,5.29263646
ABI3BP,1.434104441,1.557791759,1.530341866,1.339896309,1.414004711,1.522913691,1.35404949,1.533888359,1.559153485,1.458913078,1.420459714,1.448426118,1.395965792,1.490212051,1.513361385,1.3464193
ABITRAM,6.513741905,6.321098282,6.775548966,6.675125948,6.295172492,6.553669936,6.278518247,6.827609824,6.272374573,6.12329185,6.052288235,6.712525684,6.663363473,6.461441957,6.478298673,5.962792879
ABL1,5.179215266,4.616331565,4.676305012,4.693219987,4.47186584,4.548954006,4.614558103,4.616855376,5.020455592,4.980906147,4.914409921,4.51112268,4.498032868,4.723894737,5.140302881,5.118943771
ABL2,4.249638014,4.311080523,4.076436976,4.126008627,4.104470924,3.888483551,4.237200004,4.442562514,4.248119295,4.487915739,4.112462246,4.480963648,4.120563486,4.333155463,4.260889047,4.478474318
ABLIM1,6.966394957,6.289157638,6.500641571,6.621173492,6.279062787,6.276057957,6.664455372,5.981124363,6.903158057,6.932044889,7.026691093,6.777727628,6.33329241,6.380370159,6.371526673,7.018992307
ABLIM2,3.240664324,3.35403778,3.346648384,3.255842543,3.425719183,3.373964262,3.386038766,3.313562959,3.419076282,3.331954433,3.208783081,3.321553168,3.118161372,3.168340702,3.328806255,3.368152308
ABLIM3,3.54822406,4.79014143,4.721434909,4.845234718,5.374084154,4.32277689,4.717839685,4.489285873,4.341640037,4.435926216,4.267035444,5.062319783,4.230008023,4.563013131,4.633724038,4.094380875
ABO,3.606374359,3.689867462,3.698998812,3.884628459,3.556558333,3.583531416,3.669649909,3.35465021,3.809702296,3.521359769,3.317301905,3.398770799,3.32076033,3.518277325,3.358660927,3.409122288
ABR,4.397963046,4.103021397,4.141570896,4.152955332,4.210337285,4.069818949,4.360209503,4.027522963,4.349651677,4.272100712,4.259547978,3.94078142,4.215858614,3.996338119,3.88837884,3.87923253
ABRA,1.337776337,1.337452345,1.304200783,1.303907098,1.445800109,1.393254338,1.484128486,1.199387808,1.609076942,1.126595897,1.272694546,1.195010608,1.463661004,1.067169238,1.290017246,1.139911049
ABRACL,8.371075327,8.151206794,8.112255444,8.226741898,8.348508332,7.957131644,8.052083818,8.560581829,7.857880287,8.10523813,8.2689143,8.145222617,8.545442734,8.281103197,8.627027939,8.193332928
ABRAXAS1,4.679700415,3.800899962,4.653854773,4.866198366,4.509478628,4.822337783,3.884353286,4.333304145,4.293330663,4.209859699,4.814355612,4.64932181,4.790323247,4.594249566,4.555084213,4.300297953
ABRAXAS2,5.811683706,5.793663254,5.838391261,5.839588377,6.062629645,5.851061704,5.678287582,5.510017744,5.951293795,5.790215787,5.986229246,5.698696704,6.076745507,5.778767705,5.953166072,5.385857449
ABT1,6.364989504,6.375887845,6.487407984,6.334365862,6.112410682,6.314583476,5.993965344,6.118360222,6.017184065,6.159963092,6.450517211,6.237638627,6.191912911,6.338427786,6.190631974,6.10315539
ABTB1,4.824218086,4.562494492,5.115567103,5.19759008,4.819807329,5.23948261,5.215964206,4.487134268,5.045695697,4.638760462,4.93494146,4.489220954,4.391392784,4.753245615,4.115007592,4.468006187
ABTB2,3.759665466,4.002595332,4.229174342,3.84884816,3.449266882,3.769234863,3.65845392,4.005650864,4.012938661,3.648109328,3.621828507,3.766541962,3.866011738,3.480613285,3.945971602,3.856725058
ACAA1,8.044039251,7.856148159,8.001825691,8.358141858,7.752352084,7.845223201,8.100143297,7.659954478,7.870833537,7.755944195,7.772706156,7.770106626,7.702151406,7.847707229,7.52900933,7.678719509
ACAA2,6.082622312,5.60878753,5.86875678,5.820481894,5.431419838,5.686622902,5.617711112,5.844122314,5.706432411,5.882648964,5.814428025,5.545898446,5.77727493,5.707485506,5.855111979,5.429978065
ACACA,4.53269135,3.966491539,4.43664881,4.260268765,4.375567615,4.221780955,4.428847396,4.485510277,4.257525522,4.28070291,4.077201186,4.171101304,3.991720089,4.192338179,4.394481059,4.235860026
ACACB,4.063931098,3.938116059,3.699258987,3.885998728,3.94580755,3.865270243,3.781755791,3.612018121,4.267160136,4.264326005,3.719019959,3.81045388,3.731281509,3.860418754,3.648499851,4.418730615
ACAD10,3.284237333,3.460819607,3.311233409,3.293712772,3.389273159,3.222971996,3.433344003,3.467960843,3.334642342,3.300672092,3.265967336,3.481282501,3.329543969,3.129975753,3.180213964,3.562709379
ACAD8,6.290593238,6.292714673,6.322542138,6.724679413,6.042525727,6.214867808,6.216025329,6.303855374,6.568880505,6.521490053,6.421464093,6.667225537,6.111095632,6.319444938,6.599974618,6.003653178
ACAD9,4.657408249,4.632166201,4.417981476,4.61000847,4.592549254,4.397831114,4.344707819,4.232608119,4.606838075,6.038267762,4.528453913,4.200015251,5.279320634,4.397831114,5.469397509,4.764145745
ACADL,1.860465576,2.067592706,2.030258706,2.021163634,1.760775075,1.806569448,1.832031283,2.029559328,1.959477351,1.537883399,1.72260866,1.829735586,1.854462347,1.612029764,2.081137757,1.751443414
ACADM,6.610842751,6.781342479,6.681065557,6.688177126,7.194166371,6.532583685,6.123875313,6.514161615,6.537235772,6.655990529,6.765979714,6.79066012,6.705747736,6.651561203,6.994288762,6.49585961
ACADS,4.311977343,4.573217331,4.507402509,4.365028988,4.521514058,4.263240875,4.345162495,3.648422457,4.360474811,4.273808658,4.002540093,3.95442629,4.330472734,4.084468062,3.958563304,4.378678091
ACADSB,3.212060401,2.697540388,2.84799202,3.278301192,2.766580185,2.787608157,2.593985616,3.01984164,3.071481029,3.273312734,3.095469671,3.120672723,2.958408667,3.394037074,3.304905828,2.89488446
ACADVL,7.466390163,6.887641118,7.180932671,7.167449413,7.133279841,7.068295414,7.145792832,7.004624537,6.917954705,6.97322166,6.746330567,6.689083117,6.562987619,6.632046685,6.737747688,6.639739505
ACAN,3.313586785,3.437965009,3.283580993,3.219145784,3.188595368,3.348583497,3.261083957,3.273762109,3.234449398,3.231505027,3.1975752,3.333291434,3.277908157,3.231859033,3.428683308,3.464424806
ACAP1,5.351944849,5.072745496,5.350221155,5.540686762,4.809635873,5.030244309,5.426642441,5.021834835,5.296923008,5.374599599,5.190494922,5.131735112,5.040905976,5.091129826,5.008247848,5.179087675
ACAP2,6.841716584,6.930035201,7.295729361,7.125249481,7.14040688,7.408176201,7.202952427,6.956345702,7.306321961,7.15875403,7.140173561,6.978193274,7.014451739,6.759617517,6.503334547,6.191727344
ACAP3,3.681576697,3.716919067,3.597714518,3.846939751,3.448259336,3.395737488,3.625582253,3.928269197,3.721123155,3.630970985,3.6512771,3.39901109,3.470324492,3.454462602,3.581202149,3.621118693
