"genes","GSM399666","GSM399667","GSM399669","GSM399676","GSM399679","GSM399682","GSM399685","GSM399689","GSM399717","GSM399718","GSM399719","GSM399761","GSM399762","GSM399763","GSM399765","GSM399766","GSM1924651","GSM1924653","GSM1924657","GSM1924664","GSM1924667","GSM1924668","GSM1924674","GSM1924675","GSM1924676","GSM1924677","GSM1924680","GSM1924681","GSM1924682","GSM1924684","GSM1924685","GSM1924686","GSM1924687","GSM1924688","GSM1924689","GSM1924690","GSM1924691","GSM1924692","GSM1924693","GSM1924694","GSM1924695","GSM1924696","GSM1924697","GSM1924698"
"FCER1A","7.70923201533275","5.60652542548933","6.56073037216166","6.44336758886269","6.79109807947011","6.38169069459573","4.99238200515326","6.45502359334571","7.32758675225532","6.79728737381349","6.61285894660481","5.91944978552893","7.30956498672132","6.7034609058186","6.69946240811504","5.78456579608052","5.16828309314113","6.38146539068716","6.16292032069529","4.81458333529392","7.14289507531335","6.71626840351331","5.29015652268022","5.34154519461177","4.67350391753234","4.70733766071009","5.52017997718434","6.08083037410616","6.36228387081444","6.57886258307936","6.95941081208032","6.30371356976682","7.39784192036217","6.43987754461966","7.30450988622169","6.55318713880388","8.55119378509487","7.02489233237264","7.35176418101183","7.91947374080444","6.60450426878056","7.04669845167574","8.07891235731862","7.45539001028306"
"FGFBP2","8.97511880579813","8.00145148698097","8.157962899476","7.73954548505797","5.61174223428187","7.67110320988747","7.92942524865567","8.64760218767309","8.26788264930159","9.34676014428512","9.18070979123667","8.72049535789583","8.46635183903977","9.25200401753832","10.1271068579025","9.10794538737286","7.05970823269615","7.6546995519661","8.65467424573083","7.31183106990211","8.88972743794591","9.08620616998306","8.72509802186202","6.73839170810899","8.21275939258246","7.93545010603017","9.51952814661226","8.55496129926061","6.61450319438829","8.17846926744457","9.3607470273719","9.580354307448","9.34044800649393","8.36706329355582","9.01655058466731","7.88174537060989","9.02961026359509","8.3006276175021","8.73860488461873","8.36706329355582","9.1745859001674","8.31741836389318","8.97783793589001","8.40376859066773"
"FOLR3","11.1731057883249","8.8159922051664","8.40430567358585","9.24592537264198","7.52267123990029","8.20887769208743","8.345665828509","8.04039475283534","8.09666836546026","7.09009442469175","6.69299396598757","7.15272378751762","8.14271406066695","7.4736254321503","6.59101214566163","10.6845984526126","8.73163107597058","9.56832276714615","10.7635916926939","10.9166294682201","9.05871954813732","7.42463303834723","7.85097700842268","11.2976793002317","7.49332685215522","7.71690060003499","8.46962178702043","7.0605539681423","8.17190561264517","7.66244256721043","7.55513897097909","9.95718407064835","6.72982844381972","7.80530388822733","7.44332988451875","7.52560288677226","7.68561684972616","9.39067059234072","6.61348538237764","7.51044531950922","7.33994316452506","6.79269181104721","7.35484314122245","7.98392077087976"
"FOXO3","6.94045705522967","6.58043861976342","6.74041907624452","7.00882702937372","6.93562254781129","6.99982268474335","7.38970304621319","7.1021962105365","6.86567910748673","6.94691707424752","6.52170937156438","7.07839085793498","6.76810003683985","7.10369944550301","6.50208523292897","6.91277041454213","6.75600532534974","6.9003641616983","7.00053378576056","7.11222543285236","7.05526657845915","6.66449259735172","6.98428775741796","6.90364320232562","7.21290512831188","7.41131893049233","6.64145125304135","7.08979139781675","7.13526619018947","7.11037457523405","6.72291578097545","7.17169929766857","6.78167377618543","6.82842525117029","6.70919806840208","6.7993978505433","6.77119022864824","6.77973054458033","6.34230483586193","6.67766092989504","6.82814451820991","6.94757755119737","6.80093557464921","6.75206963161553"
"GIP","3.57215864903864","3.80660316726844","3.2656786948073","3.46154762778569","3.79070516965647","3.35498530363432","3.86529198784073","3.68875490051982","3.28036069668491","3.5544999861746","3.43973890239218","3.25492784050372","3.00172047942389","3.3191420489862","3.04950061439111","2.92726414845296","3.15002277969701","3.40777509884177","3.79785039113253","3.58077961058491","3.56298594582484","2.85868329003322","3.05149836536086","3.52012531068449","3.60805241284887","3.38888868395427","3.93593474122013","3.55925396566121","3.05812545990977","2.86337643165348","3.2755107773271","3.72090502125853","3.15600877476112","3.68959569658907","3.63402047820855","3.03840064345584","3.94636693260685","3.68095736170999","3.68897908701051","3.26260011298794","2.74378812259926","3.56086661873903","3.64229841333495","3.25560356580697"
"GP9","6.47814802222227","8.633430380791","8.20690634886627","8.14399701092829","9.23014757619829","8.09853842348733","8.45291744259396","8.18128986169666","7.55534236065316","7.91301664431917","8.35099465623978","7.70236240044137","7.77428701616132","7.71100026188668","7.8663046008462","7.45056306407828","8.47431123315946","9.01821184439067","9.23072652273961","10.2796953794278","8.46770761034359","6.5886392907654","8.5308334719336","8.63954432930765","7.9289639430954","9.3946129383392","7.8934262782436","8.28221439798796","7.00874738575186","8.28885075708152","8.55219432290385","7.83298351076361","6.46048554331398","8.59030897287905","7.50790914072778","6.89076409146356","6.39613593586552","7.90488720964279","7.1590372697696","6.74656536390834","7.11288779459777","8.57206825887053","7.20222577710324","8.48485633714917"
"GRB2","7.85990507140389","7.9668673259574","8.23665478815034","8.05101984479017","8.05766542488283","8.16475601348913","8.21178785533378","7.75733164784617","8.02321643945985","7.69272947666162","7.73078763877502","7.23293952077819","7.51388940894933","7.59821223881583","7.55649677444886","7.23785901314097","8.22404102626659","8.08054096517698","8.03186238085465","8.2235010221741","7.72049752215919","7.92725896404453","8.03266214361451","7.81821098052887","8.21581707536466","7.79711561079685","7.61432670062335","8.19356205412276","7.95917533782378","8.17244551743012","7.39330117215489","7.7034175771111","7.32840654629362","8.16618049768888","7.51537476604579","7.29733326749865","7.21523734087623","7.4434631433117","7.50674400247813","7.44043807937169","7.81322502274032","7.9843065502438","7.74939639948479","7.88470207191354"
"GZMB","9.90953682941008","9.72061531882927","8.98898534490611","8.24791824246713","7.35717490530407","8.57049071053036","8.69708010893337","9.41127279134978","8.93442515006708","10.0249078082331","10.1811878490946","9.63926945698777","9.56311411984355","10.4972353001492","11.1518777332732","10.800794357262","8.06802475658292","9.02215981642817","10.1136687611003","9.16700542996461","9.39900041111511","10.4109527090817","9.50942638309086","8.51935362130343","9.17503233705861","9.71995845002602","10.1648540588765","9.35844109690383","7.89925594303568","8.78603904667386","9.9898586611465","10.6312355016833","11.2518097858879","8.91260224328722","9.4083422119065","9.53042543523142","10.1295839649597","9.10814522209246","9.9840888143551","9.51220100278294","9.85172523449254","8.96934140673814","10.2722731233496","7.98166797250771"
"HBG2","8.75793871950925","12.2754644903649","8.50356535120109","10.0834932514149","11.861273668028","8.54631687252082","10.5765189324977","12.8683068709431","11.6913377942059","11.7944863591385","11.5552953857236","13.3679114837754","10.9878104566431","11.8623899678183","11.4102605080715","12.6373770478933","11.5612109545329","9.60363255691433","12.9379018009186","8.6888237659308","10.099228571837","10.8764231056419","10.8398765131138","10.1020116913826","11.7294136908362","11.7294136908362","11.4153193551842","12.484270121276","8.42607938805044","9.81313937722428","10.3909284634128","10.8833847365748","10.7165722435353","10.3060592475201","12.1344092809444","11.984086654978","10.4672459600254","11.5548237424037","11.2744786085811","13.0402563604315","11.6113755941847","13.0402563604315","12.9816397723247","11.5893892189492"
"HP","5.86017517614105","7.47104013203424","5.82587878106399","7.24419726809491","5.02208446902453","7.82446691708348","5.03814628719199","5.6143486239689","5.16861885045798","4.70017089361102","5.38248543850781","5.6694725001451","6.20707127109218","5.51688811166626","5.63695817586512","5.41653563068712","6.53792157881747","6.82981524384792","7.54719551491926","6.90790886044745","6.66469656055523","5.44387587101341","6.73397448166243","6.54882809455748","6.72680586080755","5.64748594460725","5.17324048088503","7.27392763553339","6.61866434216519","5.91867838534323","5.39580001739922","5.03408013239555","4.80439262961405","5.99136337500908","4.36613593644726","4.82936125631634","4.66515534367775","5.20647878811717","4.69842161192798","5.42945777764571","5.09490413716737","5.5303456490463","6.24740164632053","5.44024885913848"
"IL17RA","8.80515724388658","8.57868884852988","8.82353610806095","9.1186157264381","8.52776038953127","8.92736371678631","9.59683702956755","8.58115838734268","8.69662772812498","8.29595651846875","8.19108693938882","8.46497047504968","8.44251110143067","8.70493326137515","8.00522665736305","8.39007648276779","9.39022471624878","9.30451949816916","8.80809077906176","9.1708712689011","8.61058648198814","8.36194292400864","8.78459479378315","8.90293679346756","9.36457911199851","8.96927119721109","8.36421974743837","8.69633818281299","8.70459644682697","9.10270226810137","8.41743522452421","8.6154272173275","7.64752545842481","8.44690149953262","8.40567994066663","8.0701213916242","7.96837273378779","8.39065444041235","8.10999650402703","8.51484296767427","8.4921494462467","8.76308246669442","8.42029460994881","8.83081793267459"
"IL1RN","5.78231950582768","6.36878826790906","6.77808145371231","6.46289281017009","6.0835576833901","5.81338811656339","5.88072506870612","5.80590651287612","6.19502542021803","5.63878991682718","5.91716479523259","5.74098953104131","6.4640144837024","5.58445682977617","5.33921211317837","5.90414958155355","6.37726608221191","6.58923346163906","6.1548309082927","6.68506755378382","6.20967695064918","5.82474807063972","5.88147881715633","6.14311929244435","6.38311391856309","6.14917016713439","5.95626157537146","6.18644744566739","6.07481036730002","6.01997072704051","5.40993976599577","6.22649689950002","5.31388064957541","6.15623766600328","5.69801191533198","5.74893295840819","5.46913654186698","6.00828113031022","5.43324245188524","5.99599758905883","6.02950287492145","5.83257876052131","5.73580437448581","5.85454239279546"
"INS","3.63435086296584","3.66316348914152","3.63520443090761","3.94837808341596","3.60386223004802","3.56285800527953","3.78237254124782","3.43174511415212","3.89505973687949","3.43419327090352","3.44285674460154","4.22718059835761","3.42507053286501","3.74728622255096","4.04595608884034","4.30053293590286","3.96903608346315","3.95671182279331","3.94833691999475","4.19560710271495","3.74716688791246","3.56190744865028","4.23714123873687","4.06506054499231","3.46744577311925","4.01926944388996","3.80554459733652","3.76729373810881","3.3936600345327","3.61696670326181","3.60851286972705","3.71645678850664","3.53454644312482","3.90300241058489","3.51533421587499","3.52134854738339","3.22390755696463","3.9285531665315","3.79063213032774","4.03452932447329","3.72289644133389","3.86849273314427","3.19964238017671","3.51581704224051"
"ITGA2B","4.63560265486066","5.86488479221336","6.5184304697782","7.33618199702306","6.6135201446538","5.84484730946774","6.98742860389727","5.67526560063524","5.25888922502159","6.03927975660598","5.11700548669799","5.80570521230437","5.07757437731425","5.40017959591725","5.58084339977242","5.02906668344148","5.57694186546399","6.85835242111035","6.50010484487751","7.23349317955105","6.92562438040337","5.27282282631468","5.23084782432603","6.55043159629035","6.25819688944353","7.47745213813084","5.90639446291991","6.05350743472404","5.33871793560737","6.9904554987206","6.08077087961675","4.71988489671353","4.57407809845775","6.0268001478865","5.27445081715038","4.52797539392215","4.33022150811211","4.98439672625862","5.08072346635472","5.48061576473704","5.18671656803212","6.3722887365827","4.9181357541492","6.39782985575535"
